longitude,latitude,land_use_Barren Land (Rock/Sand/Clay),land_use_Cultivated Crops,land_use_Deciduous Forest,land_use_Developed High Intensity,"land_use_Developed, Low Intensity","land_use_Developed, Medium Intensity","land_use_Developed, open space",land_use_Emergent Herbaceous Wetlands,land_use_Evergreen Forest,land_use_Grassland/Herbaceous,land_use_Mixed Forest,land_use_Open Water,land_use_Pasture/Hay,land_use_Shrub/Scrub,land_use_Unknown,land_use_Woody Wetlands
-94.98978,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.97383,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.95788,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.94193,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.92598,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.91003,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.89408,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.87813,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.86218,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.84623,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.83028,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.81433,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.79838,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.78243,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.76648,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.75053,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.73458,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.71863,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.70268,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.68673,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.67078,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.65483,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.63888,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.62293,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.60698,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.59103,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.57508,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.55913,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.54318,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.52723,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-94.51128,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.09033,28.92611,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.07438,28.92611,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.05843,28.92611,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.04248,28.92611,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.02653,28.92611,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.01058,28.92611,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
